date,d-4,d-3,d-2,d-1,real,cate
2022-02-22,136.3,132.7,142.7,148.1,148.1,0
2022-02-23,132.7,142.7,148.1,148.1,148.1,0
2022-02-24,142.7,148.1,148.1,148.1,152.4,2
2022-02-25,148.1,148.1,148.1,152.4,148.2,1
2022-02-26,148.1,148.1,152.4,148.2,146.0,1
2022-02-27,148.1,152.4,148.2,146.0,141.7,1
2022-02-28,152.4,148.2,146.0,141.7,140.4,1
2022-03-01,148.2,146.0,141.7,140.4,140.4,0
2022-03-02,146.0,141.7,140.4,140.4,140.4,0
2022-03-03,141.7,140.4,140.4,140.4,145.1,2
2022-03-04,140.4,140.4,140.4,145.1,151.9,2
2022-03-05,140.4,140.4,145.1,151.9,156.0,2
2022-03-06,140.4,145.1,151.9,156.0,156.5,0
2022-03-07,145.1,151.9,156.0,156.5,161.0,2
2022-03-08,151.9,156.0,156.5,161.0,161.0,0
2022-03-09,156.0,156.5,161.0,161.0,161.0,0
2022-03-10,156.5,161.0,161.0,161.0,157.1,1
2022-03-11,161.0,161.0,161.0,157.1,161.7,2
2022-03-12,161.0,161.0,157.1,161.7,159.7,1
2022-03-13,161.0,157.1,161.7,159.7,164.0,2
2022-03-14,157.1,161.7,159.7,164.0,165.9,2
2022-03-15,161.7,159.7,164.0,165.9,165.9,0
2022-03-16,159.7,164.0,165.9,165.9,165.9,0
2022-03-17,164.0,165.9,165.9,165.9,165.0,0
2022-03-18,165.9,165.9,165.9,165.0,166.0,0
2022-03-19,165.9,165.9,165.0,166.0,160.8,1
2022-03-20,165.9,165.0,166.0,160.8,165.2,2
2022-03-21,165.0,166.0,160.8,165.2,167.1,2
2022-03-22,166.0,160.8,165.2,167.1,167.1,0
2022-03-23,160.8,165.2,167.1,167.1,167.1,0
2022-03-24,165.2,167.1,167.1,167.1,171.2,2
2022-03-25,167.1,167.1,167.1,171.2,170.1,1
2022-03-26,167.1,167.1,171.2,170.1,170.0,0
2022-03-27,167.1,171.2,170.1,170.0,172.4,2
2022-03-28,171.2,170.1,170.0,172.4,176.2,2
2022-03-29,170.1,170.0,172.4,176.2,176.2,0
2022-03-30,170.0,172.4,176.2,176.2,176.2,0
2022-03-31,172.4,176.2,176.2,176.2,178.4,2
2022-04-01,176.2,176.2,176.2,178.4,183.0,2
2022-04-02,176.2,176.2,178.4,183.0,185.4,2
2022-04-03,176.2,178.4,183.0,185.4,187.4,2
2022-04-04,178.4,183.0,185.4,187.4,191.7,2
2022-04-05,183.0,185.4,187.4,191.7,191.7,0
2022-04-06,185.4,187.4,191.7,191.7,191.7,0
2022-04-07,187.4,191.7,191.7,191.7,190.3,1
2022-04-08,191.7,191.7,191.7,190.3,190.2,0
2022-04-09,191.7,191.7,190.3,190.2,189.9,0
